,Enclosed Housing (sq. ft./hd),Exercise Yard (sq.ft./hd),Pasture (acres/hd),Corn ($/hd),Soybean ($/hd),Wheat ($/hd),Hay ($/hd),Other Costs ($/hd),Returns ($/hd)
Yearling Steers,75,100,1,259.18,0,121.6,88.24,2586.44,133.74
Steers Calves,75,100,1,164.28,0,84.11,93.75,1224.4,23.8
Dairy Goat,20,50,0.2,0,0,114.75,90,494.16,29.92
Pig,48,200,0,59.08,28.06,16.18,0,135.54,33.12
Sheep,20,50,0.2,0,0,22.5,12,15.65,50
Hen,3,10,0,0,0,0,0,3.15,6.72
Broiler,3,0,0,0,0,0,0,0.21,0.0358
